sentID;text;gold_elin;gold_lena;gold_oscar;gold_agg
89568;justification Child abduction carried out by a parent, usually the father, is a difficult experience for the children.;DESCRIPTIVE;NA;DESCRIPTIVE;DESCRIPTIVE
295633;another effect of the regulation on the right to parental allowance days according to above is that the right to parental allowance for days that the mother hands over to someone other than the expectant father or parent according to ch.;NA;DESCRIPTIVE;NA;NA
364834;contact details titti.mattson @ jur.lu.se 000-000 00 00 completed projects and research programs 00 children who have experienced father's violence against mother meet family law exposed children as social actors in investigations about custody, accommodation or contact background in a legal dispute between a child's parents regarding accommodation, custody or access, the child's attitude must be investigated and reported to the court.;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE
355306;thus, the committee finds it important that the regulations in medbl make it easier for children to obtain Swedish citizenship after the father, even if he is not married to the child's mother.;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE
127819;the parental code's presumption of paternity is based on the idea that in most cases it indicates the genetic father as the child's legal father.;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE
343609;at the family law unit at the social administration in norrköping, the socializing patterns of 00 children whose parents did not live together were examined (children and fathers, socializing patterns of 00 children whose parents did not live together).;NA;DESCRIPTIVE;NA;NA
333190;eighteen of the children have homosexual mothers and three have homosexual fathers.;NA;NA;NA;NA
197689;the child may be so influenced by the resident parent that he says things that he was fed with or expected to say by a controlling parent, so-called parental influence or parental alienation, that the father is portrayed as an alien, an odd and frightening person.;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE
23352;maintenance support is thereby paid in cases where the father is unknown, a parent is deceased and child pension is not paid, the maintenance parent does not meet his payment obligations or the parents are living separately and have a combined income that falls below a certain level, which means a form of income testing of both parents.;NA;DESCRIPTIVE;DESCRIPTIVE;NA
337387;weighted percent 00 00 00 percent 00 00 00 00 00 0 cannot leave work cannot leave work cannot be visited cannot be visited fathers mothers fathers mothers 0000 0000 0000 in summary, the development since the 2000s has meant that working hours have become longer when it comes to mothers' work .;NA;NA;NA;NA
290814;today it is thus required that the genetic father has been established as the child's legal father in order for the child to be able to acquire Swedish citizenship due to a connection to him.00 a prerequisite for a child to be able to travel to Sweden is that it has a passport or other necessary travel documents (chap. 0;NA;DESCRIPTIVE;NA;NA
333137;the reason why the different groups differed in this regard may, according to taskser and golombok, be that the respondents with homosexual mothers had not experienced the mother's partner as a threat to the absent father, but rather as an extra adult.;IDEAL;DESCRIPTIVE;DESCRIPTIVE;IDEAL
73159;it would partly strengthen the bonds between child and father, and partly the father's early participation would mean a significant relief for the mother in the first period after childbirth.;IDEAL;DESCRIPTIVE;IDEAL;IDEAL
166525;- a youth book about living with a heart defect - a parenting book that addresses both parents of children living with a heart defect and those who have lost their child - the book about Andreas, a father's story about his son who died of a heart defect - three information sheets, a study circle material and a diskette with three-dimensional images of how the heart works - two video films about how the cardiac surgery departments at the Eastern Hospital in Gothenburg and the University Hospital in Lund work.;NA;DESCRIPTIVE;DESCRIPTIVE;NA
277902;the daughter was traumatized since she witnessed the violence her mother was subjected to by the father.;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE
340791;about a's parents it was reported that they were communists and the father was known as a communist sympathizer and a real loudmouth who liked to discuss politics very loudly.;NA;NA;DESCRIPTIVE;NA
351637;the reason why women's incomes are higher on average for benefit advances and child support is that there are more single mothers than single fathers.;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE
335245;as a comparison group, seemanova used children conceived with a father other than the brother or the father but born to the mothers in the incestuous relationships.;NA;NA;NA;NA
353783;000 sou 0000:0 report from the women's empowerment inquiry how are the children affected by absent fathers, respectively by mothers being torn between caring responsibilities and professional ambitions?;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE
305760;be children who have one parent abroad, whose one parent has died or cases where the father is unknown.;NA;NA;DESCRIPTIVE;NA
337192;the first question reads: how much time do you think mother/father > mother's partner/father's partner @ has for you?;IDEAL;NA;NA;NA
305204;the father appealed to the government court, which stated that the child's parents had shared responsibility for 00 raw 0000 ref.;NA;DESCRIPTIVE;DESCRIPTIVE;NA
338056;a 00-year-old boy who lives with his little brother with his single father says that the father says that the son can take care of his brother.;IDEAL;DESCRIPTIVE;DESCRIPTIVE;IDEAL
364782;in the case of children placed in family homes who live far from the institution where the parent is staying, both the distance itself but also the lack of close relatives who get involved can be factors that make it difficult for the children to visit and spend time with the mother or father.;IDEAL;IDEAL;NA;IDEAL
199213;we must come from a Sweden where it is still more the mother who becomes a mother than the father who becomes a father when two adults have children together.;IDEAL;IDEAL;DESCRIPTIVE;IDEAL
93519;(0000) children and fathers socializing patterns of 00 children whose parents do not live together [00] Riksdag's investigation service, dnr.;DESCRIPTIVE;NA;NA;NA
312794;during a short period (0000 to 0000), however, there were two weeks reserved for the father and then fathers used parental leave to a greater extent (borchorst 0000).;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE
341119;marina has not met her real mother since then she believes that the reason she was adopted away was that the father was dead and the mother lived very poor.;NA;NA;NA;NA
10465;the average earned income for single mothers is approx. 00% (0000, children 00 years) of the corresponding income for single fathers.;NA;NA;NA;NA
333355;is there reason to assume that homosexual fathers would differ from homosexual mothers on this point?;IDEAL;DESCRIPTIVE;DESCRIPTIVE;IDEAL
168752;a foreign child whose father has been a Swedish citizen since the time of the child's birth can, through the addition to section 0 a, obtain Swedish citizenship, if the father has sole custody of the child or joint custody of the child with the mother through a written agreement approved by the social welfare board (see 0 chap.;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE
337599;the figure is lower for the stepmother, which is probably due to the fact that she often does not live in the same household as the child (in our definition, she is the father's cohabitant, even if she lives with the father in another household).;NA;DESCRIPTIVE;NA;NA
235578;the only reasonable thing is for the government to review the possibility of a father's month for these new fathers in cases where the entire parental insurance has been used by the mother and possibly the man who once thought he was the father of the child.;IDEAL;IDEAL;IDEAL;IDEAL
232917;he believes that contact sabotage should be able to lead to the contact parent, usually the father, not having to pay maintenance.;IDEAL;DESCRIPTIVE;IDEAL;IDEAL
320361;share of fathers with children born in 0000 with compensation at basic level and average daily compensation (sec) during the child's first four years after the father's region of birth region of birth share with basic level average compensation average compensation all fathers above basic level Sweden 0.0 000.0 000.0 the Nordics except Sweden 0.0 000.0 000.0 eu00 except the Nordics 0.0 000.0 000.0 Europe not eu 0.0 000.0 000.0 Africa 0.0 000.0 000.0 Asia 00.0 000.0 000.0 North America 0.0 000.0 000.0 South America 0.0 000.0 000.0 Oceania 0.0 000.0 000.0 source: the insurance fund's data warehouse store.;NA;NA;DESCRIPTIVE;NA
23426;the committee also questions whether it is reasonable to distinguish the case where a father is unaware that he is the father of a child from the situation where the father is aware that he could be the father of the child but the establishment of paternity has been delayed for some reason .;DESCRIPTIVE;NA;DESCRIPTIVE;DESCRIPTIVE
339400;if the child, when both parents have moved from the joint residence, stays to an equal extent with both parents – for example, odd weeks with the mother and even weeks with the father – the child is considered to have 000 appendix 0 sou 0000:000 his actual residence where, taking into account objective circumstances such as school, daycare, residence during the day and responsibility for everyday care, practical matters and leisure activities, etc.;DESCRIPTIVE;DESCRIPTIVE;NA;DESCRIPTIVE
166471;§ 00 the following documents from an authority within the social services may not be thinned with the support of the provisions in § 00, first paragraph: 0. documents received or drawn up in connection with an investigation into paternity, 0. documents received or drawn up in connection with an investigation on adoption, 0. documents received or drawn up in connection with a minor being placed or received in a home for care and accommodation, in a family home or in another private home that does not belong to one of his parents or someone another who has custody of him.;NA;DESCRIPTIVE;DESCRIPTIVE;NA
343607;these differences between 000 sou 0000:00 appendix 00 mothers and fathers could not, according to the report, be explained by different residential distances to the child.;NA;DESCRIPTIVE;NA;NA
217862;we have debates where it is pointed out that too few fathers get custody, and in some debates it is thought that it is too often judged in favor of the father.;IDEAL;DESCRIPTIVE;IDEAL;IDEAL
61636;the man in the marriage is thus automatically considered to be the father of the child regardless of whether he is really the biological father or not.;IDEAL;DESCRIPTIVE;DESCRIPTIVE;IDEAL
304719;000 sou 0000:00 children's accommodation table 00 reason for choosing that the child lives mostly with the mother when the children live this way, percentage, equal parenting 0000 father mother the work situation 0 0 the child had to choose 0 00 it suits the child best 00 00 distance between the parents' housing 00 00 finances 0 0 close to school/preschool/friends 0 0 other 00 00 when the child lives mostly with the father, it is in the same way as in the table above, more often that the father thinks it is because it suits the child best.;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE
211514;the father refused to approve that it was appointed good man, and it took several months before the children got in touch with child and youth psychiatry, when the father had murdered the children's mother.;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE
288366;on the other hand, the radical individualistic features of the Swedish welfare state are increasingly being noticed: marriage legislation, children's rights, parental leave for both fathers and mothers, ban on discipline.;IDEAL;DESCRIPTIVE;DESCRIPTIVE;IDEAL
72626;the mother can accuse the father of lack of cooperation and other accusations and he must then put all his energy into defending himself and proving that he is a suitable father.;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE
317611;with regard to the distribution of parental leave, the research shows that if the mother is at home with the child at the same time as the father, the child does not have sufficient influence on the father for him to develop the caring rationality that is the basis of a parenting equal to that which mothers usually develop by being in a situation of 000 sou 0000:00 reasons for using and distributing parental allowance total emotional and practical responsibility (brandth kvande, 0000).;IDEAL;IDEAL;IDEAL;IDEAL
355230;a child born outside Iran – and whose parents are married – acquires Iranian citizenship at birth if the father is an Iranian citizen.;NA;NA;DESCRIPTIVE;NA
125776;the presumption of paternity is based on the idea that in the vast majority of cases it indicates the genetic father as the legal father of the child.;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE
53154;nurses' use of research results - obstacles and opportunities administrative organizational changes and their consequences for older patients with hip fracture the meaning of illness and treatment decision-making preferences in patients with colorectal cancer women's depressive mood in a national Swedish sample, in early pregnancy, post partum and one year after giving birth individually adapted nutritional program for care recipients newly moved to the municipality's nursing home health and nutritional status of elderly Östgötar pressure ulcer prevention risk assessment and treatment the importance of waiting time for patients and society before elective hip arthroplasty quality of care, postoperative pain and pain treatment the effect of music on the patient's experience of postoperative pain, nausea and recovery poststroke pain The children's care center's support for fathers with babies ös project, integration of research, teaching and clinic in palliative care 000 ds 0000:00 appendix 0 breast cancer patients' nausea and life situation after adjuvant cytostatic treatment predictors of delayed nausea in cisplatin-treated patients acupuncture's effect against radiation-induced nausea translation, validation and reliability testing of an activity scale in collaboration with boston, usa gender perspective of sleep disturbs, res-activity and quality of life in patients with stable coronary artery disease quality of life after intensive care sleep, sexual life , health , and general quality of life in men with benign prostatic obstruction and their partners etc. quality of life after intensive care mobile health – eu project living with a severe chronic disease living with MS living with a traumatic brain injury parenting – parental support early going home after the birth of children with the support of IT technology, living with technological aids, children and their families, needs and decision-making in health care expectant parents, their experience of prenatal diagnostic ultrasound, normal and abnormal findings.;NA;NA;NA;NA
290865;in such a case, it cannot be ruled out that the determined father has bought or kidnapped the child, or that he should not for other reasons be considered the child's legal 000 surrogate arrangement abroad sou 0000:00 legal father.;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE
15296;is it a big risk that fathers or mothers with one or two children in their home country come to collect more allowances than they contribute to the Swedish public finances through taxes and social contributions?;NA;DESCRIPTIVE;DESCRIPTIVE;NA
287949;the second reserved month, on the other hand, had no effect on the distribution.00 0.0homework and gainful employment even though parental insurance is based on the assumption that the parents must jointly take responsibility for the care of children, there are large differences in how mothers and fathers make use of these possibility .;DESCRIPTIVE;IDEAL;DESCRIPTIVE;DESCRIPTIVE
101000;when it comes to the rights of unmarried fathers to their children and the rights of these children to their fathers, they do not automatically have rights to each other in the same way that mother and child always have.;IDEAL;DESCRIPTIVE;DESCRIPTIVE;IDEAL
109260;this despite the fact that the fathers who have the courage to pursue a legal process to be allowed to live with their children are probably at least as involved in the children's daily care as the children's mothers.;DESCRIPTIVE;IDEAL;DESCRIPTIVE;DESCRIPTIVE
339422;sandra was together with her father and sister 000 sou 0000:000 appendix 0 registered at the father's address.;NA;NA;DESCRIPTIVE;NA
65195;in the isf report, double days - fathers' way into parental allowance, it is concluded that fathers' withdrawals during the child's first year of life have increased and that fathers who previously chose not to take out parental allowance have now started to take out days.;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE
322994;what speaks against an entry in the population register is, as the government previously stated, that the social father is the legal father and it is the legal conditions that are primarily of interest from the population register point of view.;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE
26827;as long as it is not scientifically clear that a child's social and emotional development is objectively as guaranteed in a family with two mothers or two fathers with a mutual sexual relationship as in a heterosexual family, the basic prerequisite for joint parenting to be established is missing in a registered partnership, namely the consideration of the best interests of the child.;IDEAL;IDEAL;NA;IDEAL
316421;the parent had not been convicted of sexual abuse against the child, the abuse was raised in all 0 cases, the allegations of sexual abuse against the child were directed at the father.;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE
281134;however, many believe that in the area of ​​parenting, women and mothers are valued higher, define the norm for parenting and have an advantage over men and fathers.;IDEAL;IDEAL;DESCRIPTIVE;IDEAL
326577;0. year 0000 in the villa's lounge in Stuvsta intentionally added f.g. pain by delivering several punches to his body when he was lying on his mother with the intention of protecting her from the father's ongoing abuse.;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE
286581;against this background, genetic mothers should be equated with genetic fathers and an opportunity to confirm motherhood should be created.;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE
316394;the parent had not been convicted of violence/threats, the abuse was not addressed, the one case concerned claims that the mother's relatives stabbed the father and that the children, according to the father, claimed that the mother hit them.;NA;DESCRIPTIVE;NA;NA
318577;0.0 influence from the parents' income level and length of education a general conclusion is that fathers with higher income take parental leave to a greater extent than fathers with lower income but that this influence decreases with rising income, especially when the father's income has risen above a certain level (income ceiling).;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE
333127;000 children in homosexual families sou 0000:00 the relationship with the other biological parent and other adults in taskers and golombok's first study also examined the extent to which the children had contact with their biological fathers.;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE
235575;but the left-wing party's motion contained another demand, namely that the fathers who find out late in life that they are fathers should be entitled to a father's month from the parental insurance to be able to establish a good contact with the child and for father and child to have an opportunity to get to know each other.;IDEAL;IDEAL;IDEAL;IDEAL
320442;they tend instead to talk about fathers' violence against mothers and fathers' violence against children as phenomena without a particularly strong connection to each other.;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE
318428;the mother must let the father do what he wants and not interfere. the child should not have two mothers but a mother and a father.;IDEAL;IDEAL;IDEAL;IDEAL
333155;00 there are also studies in the area that have treated both homosexual fathers and mothers.;NA;NA;NA;NA
78606;justification Child abduction carried out by a parent, usually the father, is a difficult experience for the children.;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE
353782;we also need to know more about why fathers take such a relatively small proportion of parental leave, why mothers work part-time to such a high degree and how parents negotiate responsibility for the children.;IDEAL;DESCRIPTIVE;DESCRIPTIVE;IDEAL
289533;Entrepreneurship is especially common among men in this group: between 00 and 00 percent of employed men of this age are entrepreneurs. mothers with children 0–00 years (00 percent) and single fathers (00 percent).00 the level and development is very similar for married/cohabiting mothers of small children and single mothers, but in the latter category those with older children .;DESCRIPTIVE;NA;DESCRIPTIVE;DESCRIPTIVE
81209;the man in the marriage is thus automatically considered to be the father of the child regardless of whether he is really the biological father or not.;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE
295608;not just the father or parent according to Chapter 0.;NA;NA;NA;NA
329024;00 certain regulations regulate what applies to a child's father, including that a child must be registered in the national register because of his connection to the father.;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE
214306;I can tell you that the parental insurance is already divided, half is the mother's, half is the father's and two months each are tied to the respective parent.;DESCRIPTIVE;DESCRIPTIVE;NA;DESCRIPTIVE
12148;the exercisers emphasize that there is a clear connection between the father's commitment and the child's development, and that it is during a coherent time together with the child that the parent's caring rationality develops.;IDEAL;DESCRIPTIVE;DESCRIPTIVE;IDEAL
358733;In 0000, the working group submitted the father group's final report (ds 0000:0), which contained a vision of the present father and a number of proposals for measures to influence fathers to be at home with their children to a greater extent.;IDEAL;IDEAL;IDEAL;IDEAL
299959;000 sou 0000:00 new way to confirm parentage part of the investigation aimed at finding out who is the legal parent.00 it can be the genetic father or the man or woman who has given consent to the assisted fertilization which the child has acquired through .;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE
229323;it may well be people who are fathers or mothers of children elsewhere in the world.;NA;DESCRIPTIVE;DESCRIPTIVE;NA
290854;the circumstances that one of the intended parents, or the only intended parent, has usually been the child's genetic father and that the Migration Agency, in accordance with its internal practice, has granted the child Swedish citizenship before the genetic father has been established as the child's legal father, has meant that even as long as no more serious problems have arisen in the area.;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE
318445;the question is asked, is there anyone who intends to give paternity leave to the mothers because the fathers are not there, we talk about parental leave and that the father should take his leave as much as he can, but many men are sole breadwinners, the communication about shared responsibility, equality and shared care parental leave thus goes through the women and it is the individual women's attitude and approach that determines whether this also becomes a discussion at home together with the child's father.;IDEAL;DESCRIPTIVE;DESCRIPTIVE;IDEAL
108734;but it is also the responsibility of a father for his children, or the responsibility of sons and daughters for their aging parents.;IDEAL;DESCRIPTIVE;DESCRIPTIVE;IDEAL
98768;higher remuneration in the father's month we believe that 00 days should continue to be set aside for each father and mother - this mainly as a marking of the children's right to both their parents and the shared responsibility.;IDEAL;DESCRIPTIVE;IDEAL;IDEAL
320422;0 Swedish fathers and mothers are today expected to share legal custody and practice joint parenting, preferably without interference from the state.;IDEAL;DESCRIPTIVE;IDEAL;IDEAL
68291;the importance and role of fathers for their children is highlighted more and more and the child's right to both parents has shaped the legislation of recent years, for example the reform of the custody rules.;IDEAL;DESCRIPTIVE;DESCRIPTIVE;IDEAL
290911;a prerequisite for the application of the provision is, as said, that the child in the country of residence has no other legal parents than the genetic father and his possible partner.;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE
235678;when we say that parents must take responsibility for their children, we mean that both the mother and the father must take responsibility for their children.;IDEAL;DESCRIPTIVE;IDEAL;IDEAL
226989;it is absurd that we in Sweden have a system where crime victims mothers, fathers, spouses, children are forced to bare their grief in front of not only a bunch of anonymous strangers, but perhaps the worst thing is to bare their despair, their pain and their injuries to the one who caused them, who may even sneer and are not the least bit remorseful.;DESCRIPTIVE;DESCRIPTIVE;NA;DESCRIPTIVE
103;the investigation explains that the presumption of paternity is based on the idea that in the vast majority of cases it indicates the genetic father as the child's legal father.;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE
306325;sou 0000:00 of the time with one parent, usually the mother, and has contact or no contact at all with the other parent, usually the father.;DESCRIPTIVE;IDEAL;DESCRIPTIVE;DESCRIPTIVE
14940;the committee's stance the committee has on several previous occasions disproved motions similar to the ones currently in question and thereby stated that the current order provides reassuring guarantees that it is indeed the biological father and not someone else who is determined to be the father of a child (see e.g.;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE
214373;over a ten-year period it costs 000,000 for the mother and 00,000 for the father to be a parent.;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE
320436;instead they tended to link violence to groups of people who, for one reason or another, do not appear to be ordinary fathers and mothers.;NA;DESCRIPTIVE;DESCRIPTIVE;NA
290055;the violation consisted in the fact that the state had not made a reasonable balance between the appellant's interests in determining who his father was and the putative father's interest in not having to undergo a paternity test or take part in the process.;NA;DESCRIPTIVE;DESCRIPTIVE;NA
155807;the target groups are mainly divorced fathers who have problems with making the relationship with the child's mother work, as well as male social workers in Stockholm County.;DESCRIPTIVE;IDEAL;NA;DESCRIPTIVE
5491;it is also of great importance that the order that exists for investigations into paternity for unmarried people provides reassuring guarantees that it is indeed the biological father and not someone else who is determined to be the father of a child.;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE
275567;since there is normally no actual investigation into paternity, other than the mother and father being allowed to certify that they are the parents, there should be a small change.;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE
84160;no civilization has considered fathers to be unimportant to a child's well-being and upbringing, but on the contrary it has been seen as a deficiency, yes, even a tragedy if a child is deprived of its father at a young age.;IDEAL;IDEAL;DESCRIPTIVE;IDEAL
290959;what has now been stated about a genetic mother would probably also apply to the woman or man who, together with the genetic father, has consented to a surrogate mother undergoing the treatment.;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE
71663;the importance and role of fathers for their children is highlighted more and more and the child's right to both parents has shaped the legislation of recent years, for example the reform of the custody rules.;IDEAL;IDEAL;DESCRIPTIVE;IDEAL
13423;the group that did not take out parental allowance is, however, heterogeneous because fathers who have incomes above the parental insurance ceiling are also included in the rfv's long-term work to increase men's use of parental allowance includes information campaigns via insurance funds and maternity care centers aimed at parents, sending reminder letters to fathers with parental allowance days left and training efforts for parental allowance administrators.;IDEAL;DESCRIPTIVE;IDEAL;IDEAL
294466;the possibility existed if there was no father entitled to temporary parental allowance, if the father waived his right under certain conditions or if the mother was deceased.;IDEAL;DESCRIPTIVE;DESCRIPTIVE;IDEAL
290917;the genetic father cannot at the same time be established as the child's legal father if there is a man who according to ch.;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE;DESCRIPTIVE
349176;the biggest gender differences in responses are among the parents of young children, where almost three quarters of the fathers distance themselves from the idea, but only a little more than four out of ten mothers.;NA;NA;NA;NA
350727;after this, the child must be given the opportunity to talk to his mother or another adult about his feelings for the father.;DESCRIPTIVE;DESCRIPTIVE;NA;DESCRIPTIVE
277815;because Swedish parents are entitled to 000 days with compensation, with 00 days earmarked for the parent who waives the greater amount of days, usually the father, but Denmark does not have the same system, the Danish system does not ``warn'' when, according to Danish calculation technology, the parents have used up the danish days.;IDEAL;DESCRIPTIVE;IDEAL;IDEAL
