	prompt	prediction	gold_elin	gold_lena	gold_oscar	gold_agg	57,14%	63,14%	67,43%	62,57%
23		ACTIVE_POS_CARING	NA	ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_CARING	0	1	0	
24		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	1	1	1	
25		ACTIVE_POS_CHALLENGING	NA	NA	ACTIVE_NEG	NA	0	0	0	
26		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
27		NA	NA	NA	NA	NA	1	1	1	
28		PASSIVE	ACTIVE_NEG	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_NEG	0	0	1	
29		PASSIVE	NA	NA	PASSIVE	NA	0	0	1	
30		NA	ACTIVE_POS_CARING	NA	NA	NA	0	1	1	
31		ACTIVE_POS_OTHER	NA	PASSIVE	ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING	0	0	0	
32		ACTIVE_POS_CARING	ACTIVE_NEG	ACTIVE_POS_OTHER	ACTIVE_NEG	ACTIVE_NEG	0	0	0	
33		ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	NA	ACTIVE_POS_OTHER	0	0	0	
34		ACTIVE_POS_OTHER	ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING	PASSIVE	ACTIVE_POS_CHALLENGING	0	0	0	
35		NA	ACTIVE_POS_OTHER	NA	NA	NA	0	1	1	
36		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	1	1	1	
37		PASSIVE	NA	NA	NA	NA	0	0	0	
38		PASSIVE	NA	NA	NA	NA	0	0	0	
39		NA	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_CARING	ACTIVE_POS_OTHER	0	0	0	
40		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE	1	0	0	
41		PASSIVE	NA	PASSIVE	NA	NA	0	1	0	
42		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	1	1	1	
43		ACTIVE_NEG	PASSIVE	PASSIVE	PASSIVE	PASSIVE	0	0	0	
44		NA	NA	NA	PASSIVE	NA	1	1	0	
45		PASSIVE	PASSIVE	NA	PASSIVE	PASSIVE	1	0	1	
46		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	NA	NA	1	0	0	
47		NA	NA	PASSIVE	PASSIVE	PASSIVE	1	0	0	
48		NA	NA	PASSIVE	NA	NA	1	0	1	
49		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_CARING	ACTIVE_POS_OTHER	1	1	0	
50		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
51		NA	ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE	0	0	0	
52		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	1	1	1	
53		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	1	1	1	
54		ACTIVE_NEG	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	0	0	0	
55		ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	1	1	1	
56		PASSIVE	NA	NA	PASSIVE	NA	0	0	1	
57		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
58		NA	NA	NA	NA	NA	1	1	1	
59		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	1	1	1	
60		PASSIVE	NA	ACTIVE_NEG	PASSIVE	ACTIVE_NEG	0	0	1	
61		ACTIVE_POS_OTHER	ACTIVE_NEG	ACTIVE_POS_CARING	ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING	0	0	0	
62		PASSIVE	PASSIVE	ACTIVE_POS_CHALLENGING	ACTIVE_POS_OTHER	ACTIVE_POS_CHALLENGING	1	0	0	
63		ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	1	1	1	
64		PASSIVE	NA	NA	PASSIVE	NA	0	0	1	
65		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	1	1	1	
66		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
67		NA	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	NA	ACTIVE_POS_OTHER	0	0	1	
68		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	1	1	1	
69		ACTIVE_NEG	PASSIVE	ACTIVE_POS_CHALLENGING	PASSIVE	PASSIVE	0	0	0	
70		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	1	1	1	
71		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
72		ACTIVE_NEG	NA	ACTIVE_NEG	NA	NA	0	1	0	
73		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	1	0	1	
74		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER	1	1	0	
75		ACTIVE_POS_OTHER	ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	0	1	1	
76		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	1	1	1	
77		ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING	1	1	1	
78		NA	NA	NA	NA	NA	1	1	1	
79		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	1	1	1	
80		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE	1	0	0	
81		NA	PASSIVE	NA	PASSIVE	PASSIVE	0	1	0	
82		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
83		NA	NA	NA	NA	NA	1	1	1	
84		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
85		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	NA	ACTIVE_POS_OTHER	1	1	0	
86		ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_CARING	1	1	0	
87		ACTIVE_POS_OTHER	ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	0	1	1	
88		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
89		PASSIVE	NA	PASSIVE	PASSIVE	PASSIVE	0	1	1	
90		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
91		ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER	0	0	0	
92		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	1	1	1	
93		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	1	1	1	
94		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	1	1	1	
95		ACTIVE_POS_OTHER	ACTIVE_POS_CHALLENGING	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	0	1	1	
96		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
97		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	1	1	1	
98		ACTIVE_NEG	ACTIVE_POS_OTHER	ACTIVE_NEG	NA	ACTIVE_NEG	0	1	0	
99		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
100		PASSIVE	PASSIVE	ACTIVE_POS_OTHER	PASSIVE	PASSIVE	1	0	1	
101		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
102		PASSIVE	ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE	0	1	1	
103		ACTIVE_NEG	NA	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	0	1	1	
104		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
105		ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	NA	ACTIVE_POS_OTHER	0	0	0	
106		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
107		PASSIVE	ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE	0	1	1	
108		ACTIVE_POS_OTHER	ACTIVE_POS_CHALLENGING	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	0	1	1	
109		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
110		ACTIVE_POS_OTHER	ACTIVE_POS_CHALLENGING	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	0	1	1	
111		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	1	0	1	
112		PASSIVE	ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE	0	1	1	
113		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
114		ACTIVE_POS_OTHER	NA	NA	NA	NA	0	0	0	
115		ACTIVE_POS_CARING	ACTIVE_NEG	ACTIVE_NEG	NA	ACTIVE_NEG	0	0	0	
116		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	1	0	1	
117		PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	0	0	0	
118		PASSIVE	PASSIVE	NA	PASSIVE	PASSIVE	1	0	1	
119		PASSIVE	PASSIVE	PASSIVE	ACTIVE_POS_OTHER	PASSIVE	1	1	0	
120		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	1	1	1	
121		NA	NA	NA	NA	NA	1	1	1	
122		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	1	1	1	
123		NA	NA	NA	NA	NA	1	1	1	
124		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	1	0	1	
125		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
126		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
127		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
128		ACTIVE_POS_CARING	PASSIVE	PASSIVE	PASSIVE	PASSIVE	0	0	0	
129		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
130		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	1	1	1	
131		PASSIVE	ACTIVE_NEG	PASSIVE	PASSIVE	PASSIVE	0	1	1	
132		ACTIVE_POS_CARING	ACTIVE_NEG	ACTIVE_NEG	PASSIVE	ACTIVE_NEG	0	0	0	
133		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	1	1	1	
134		PASSIVE	ACTIVE_NEG	PASSIVE	PASSIVE	PASSIVE	0	1	1	
135		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	1	1	1	
136		ACTIVE_POS_OTHER	NA	PASSIVE	PASSIVE	PASSIVE	0	0	0	
137		PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	0	0	0	
138		PASSIVE	NA	NA	NA	NA	0	0	0	
139		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
140		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER	1	1	0	
141		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
142		ACTIVE_POS_OTHER	ACTIVE_NEG	ACTIVE_POS_OTHER	ACTIVE_NEG	ACTIVE_NEG	0	1	0	
143		ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE	PASSIVE	0	0	0	
144		NA	PASSIVE	PASSIVE	PASSIVE	PASSIVE	0	0	0	
145		ACTIVE_NEG	NA	NA	NA	NA	0	0	0	
146		NA	ACTIVE_POS_OTHER	PASSIVE	NA	NA	0	0	1	
147		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
148		NA	NA	PASSIVE	PASSIVE	PASSIVE	1	0	0	
149		PASSIVE	ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE	0	1	1	
150		PASSIVE	NA	PASSIVE	PASSIVE	PASSIVE	0	1	1	
151		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	1	1	1	
152		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	1	1	1	
153		NA	NA	NA	NA	NA	1	1	1	
154		ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER	0	0	0	
155		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	1	1	1	
156		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
157		ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	1	1	1	
158		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	1	1	1	
159		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_CARING	ACTIVE_POS_CARING	1	0	0	
160		NA	NA	PASSIVE	PASSIVE	PASSIVE	1	0	0	
161		ACTIVE_POS_CARING	ACTIVE_NEG	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_NEG	0	0	0	
162		PASSIVE	ACTIVE_POS_OTHER	NA	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	0	0	0	
163		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER	1	1	0	
164		PASSIVE	NA	PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	0	1	0	
165		NA	NA	NA	NA	NA	1	1	1	
166		PASSIVE	PASSIVE	NA	NA	NA	1	0	0	
167		PASSIVE	NA	PASSIVE	PASSIVE	PASSIVE	0	1	1	
168		ACTIVE_POS_OTHER	NA	PASSIVE	PASSIVE	PASSIVE	0	0	0	
169		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_CHALLENGING	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	1	0	1	
170		PASSIVE	NA	PASSIVE	PASSIVE	PASSIVE	0	1	1	
171		ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE	PASSIVE	0	0	0	
172		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
173		PASSIVE	ACTIVE_NEG	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	0	0	0	
174		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE	1	0	0	
175		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
176		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	1	1	1	
177		ACTIVE_POS_OTHER	NA	NA	NA	NA	0	0	0	
178		ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	0	0	0	
179		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
180		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	1	1	1	
181		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
182		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	1	1	1	
183		NA	NA	NA	NA	NA	1	1	1	
184		PASSIVE	ACTIVE_POS_OTHER	NA	ACTIVE_POS_CARING	ACTIVE_POS_CARING	0	0	0	
185		NA	NA	ACTIVE_NEG	NA	NA	1	0	1	
186		ACTIVE_NEG	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	0	0	0	
187		PASSIVE	ACTIVE_POS_CHALLENGING	NA	ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING	0	0	0	
188		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	1	0	1	
189		PASSIVE	ACTIVE_NEG	ACTIVE_NEG	PASSIVE	ACTIVE_NEG	0	0	1	
190		PASSIVE	NA	PASSIVE	NA	NA	0	1	0	
191		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
192		ACTIVE_POS_OTHER	NA	NA	ACTIVE_POS_OTHER	NA	0	0	1	
193		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER	1	1	0	
194		ACTIVE_POS_OTHER	PASSIVE	NA	PASSIVE	PASSIVE	0	0	0	
195		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	1	1	1	
196		NA	NA	NA	NA	NA	1	1	1	
197		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER	1	1	0	
198		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	1	1	1	
199		ACTIVE_POS_CARING	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_CARING	ACTIVE_POS_CARING	0	0	1	
200		ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	1	1	1	
201		ACTIVE_POS_OTHER	ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_CARING	ACTIVE_POS_CARING	0	1	0	
202		ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_CHALLENGING	ACTIVE_POS_CARING	ACTIVE_POS_CHALLENGING	0	0	1	
203		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
204		PASSIVE	ACTIVE_NEG	PASSIVE	PASSIVE	PASSIVE	0	1	1	
205		NA	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	0	0	0	
206		ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_CHALLENGING	ACTIVE_POS_CARING	ACTIVE_POS_CHALLENGING	0	0	1	
207		PASSIVE	NA	PASSIVE	PASSIVE	PASSIVE	0	1	1	
208		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
209		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	1	1	1	
210		NA	NA	PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	1	0	0	
211		PASSIVE	PASSIVE	PASSIVE	ACTIVE_POS_OTHER	PASSIVE	1	1	0	
212		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
213		ACTIVE_POS_OTHER	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	0	0	0	
214		NA	PASSIVE	PASSIVE	PASSIVE	PASSIVE	0	0	0	
215		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
216		ACTIVE_POS_CARING	NA	ACTIVE_POS_OTHER	NA	NA	0	0	0	
217		PASSIVE	NA	PASSIVE	PASSIVE	PASSIVE	0	1	1	
218		NA	NA	NA	NA	NA	1	1	1	
219		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
220		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	NA	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	1	0	1	
221		ACTIVE_POS_OTHER	ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_CARING	ACTIVE_POS_CARING	0	1	0	
222		PASSIVE	ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE	0	1	1	
223		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_CARING	ACTIVE_POS_CARING	1	0	0	
224		PASSIVE	ACTIVE_NEG	PASSIVE	PASSIVE	PASSIVE	0	1	1	
225		NA	NA	PASSIVE	PASSIVE	PASSIVE	1	0	0	
226		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
227		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
228		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
229		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
230		PASSIVE	NA	PASSIVE	PASSIVE	PASSIVE	0	1	1	
231		PASSIVE	ACTIVE_NEG	ACTIVE_NEG	PASSIVE	ACTIVE_NEG	0	0	1	
232		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
233		NA	NA	NA	NA	NA	1	1	1	
234		ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_CARING	ACTIVE_POS_OTHER	0	0	1	
235		PASSIVE	ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE	0	1	1	
236		PASSIVE	ACTIVE_NEG	PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	0	1	0	
237		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
238		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
239		NA	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	NA	ACTIVE_POS_OTHER	0	0	1	
240		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
241		NA	NA	PASSIVE	NA	NA	1	0	1	
242		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_CARING	ACTIVE_POS_OTHER	1	1	0	
243		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
244		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_NEG	1	0	0	
245		NA	NA	PASSIVE	NA	NA	1	0	1	
246		NA	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_CARING	ACTIVE_POS_CARING	0	0	0	
247		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	1	1	1	
