	prompt	prediction	gold_elin	gold_lena	gold_oscar	gold_agg
44		NA	NA	NA	EXPLICIT	NA
45		EXPLICIT	EXPLICIT	NA	EXPLICIT	EXPLICIT
46		IMPLICIT	IMPLICIT	EXPLICIT	NA	IMPLICIT
47		NA	NA	EXPLICIT	EXPLICIT	NA
48		IMPLICIT	NA	EXPLICIT	NA	NA
49		IMPLICIT	IMPLICIT	IMPLICIT	IMPLICIT	IMPLICIT
50		EXPLICIT	IMPLICIT	EXPLICIT	EXPLICIT	IMPLICIT
51		NA	IMPLICIT	EXPLICIT	IMPLICIT	IMPLICIT
52		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
53		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
54		IMPLICIT	IMPLICIT	EXPLICIT	IMPLICIT	IMPLICIT
55		IMPLICIT	IMPLICIT	EXPLICIT	IMPLICIT	IMPLICIT
56		EXPLICIT	NA	NA	EXPLICIT	NA
57		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
58		NA	NA	NA	NA	NA
59		EXPLICIT	IMPLICIT	EXPLICIT	EXPLICIT	IMPLICIT
60		EXPLICIT	NA	EXPLICIT	EXPLICIT	NA
61		IMPLICIT	EXPLICIT	EXPLICIT	IMPLICIT	EXPLICIT
62		EXPLICIT	EXPLICIT	EXPLICIT	IMPLICIT	EXPLICIT
63		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
64		IMPLICIT	NA	NA	IMPLICIT	NA
65		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
66		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
67		EXPLICIT	IMPLICIT	IMPLICIT	NA	IMPLICIT
68		EXPLICIT	EXPLICIT	EXPLICIT	IMPLICIT	EXPLICIT
69		EXPLICIT	EXPLICIT	IMPLICIT	IMPLICIT	IMPLICIT
70		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
71		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
72		IMPLICIT	NA	IMPLICIT	NA	NA
73		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
74		EXPLICIT	IMPLICIT	EXPLICIT	EXPLICIT	IMPLICIT
75		EXPLICIT	EXPLICIT	EXPLICIT	IMPLICIT	EXPLICIT
76		IMPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
77		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
78		NA	NA	NA	NA	NA
79		EXPLICIT	IMPLICIT	EXPLICIT	IMPLICIT	IMPLICIT
80		EXPLICIT	IMPLICIT	EXPLICIT	IMPLICIT	IMPLICIT
81		NA	EXPLICIT	NA	IMPLICIT	EXPLICIT
82		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
83		NA	NA	NA	NA	NA
84		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
85		EXPLICIT	EXPLICIT	EXPLICIT	NA	EXPLICIT
86		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
87		EXPLICIT	EXPLICIT	EXPLICIT	IMPLICIT	EXPLICIT
88		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
89		IMPLICIT	NA	EXPLICIT	EXPLICIT	NA
90		IMPLICIT	IMPLICIT	EXPLICIT	EXPLICIT	IMPLICIT
91		IMPLICIT	IMPLICIT	EXPLICIT	EXPLICIT	IMPLICIT
92		EXPLICIT	IMPLICIT	EXPLICIT	EXPLICIT	IMPLICIT
93		EXPLICIT	EXPLICIT	EXPLICIT	IMPLICIT	EXPLICIT
94		EXPLICIT	EXPLICIT	EXPLICIT	IMPLICIT	EXPLICIT
95		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
96		EXPLICIT	IMPLICIT	EXPLICIT	EXPLICIT	IMPLICIT
97		EXPLICIT	EXPLICIT	EXPLICIT	IMPLICIT	EXPLICIT
98		IMPLICIT	IMPLICIT	IMPLICIT	NA	IMPLICIT
99		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
100		IMPLICIT	EXPLICIT	IMPLICIT	EXPLICIT	EXPLICIT
101		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
102		EXPLICIT	IMPLICIT	EXPLICIT	IMPLICIT	IMPLICIT
103		IMPLICIT	NA	EXPLICIT	EXPLICIT	NA
104		IMPLICIT	NA	EXPLICIT	EXPLICIT	NA
105		EXPLICIT	IMPLICIT	IMPLICIT	NA	IMPLICIT
106		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
107		EXPLICIT	IMPLICIT	EXPLICIT	EXPLICIT	IMPLICIT
108		EXPLICIT	EXPLICIT	EXPLICIT	IMPLICIT	EXPLICIT
109		IMPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
110		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
111		EXPLICIT	EXPLICIT	EXPLICIT	IMPLICIT	EXPLICIT
112		EXPLICIT	IMPLICIT	EXPLICIT	EXPLICIT	IMPLICIT
113		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
114		IMPLICIT	NA	NA	NA	NA
115		EXPLICIT	IMPLICIT	IMPLICIT	NA	IMPLICIT
116		EXPLICIT	IMPLICIT	EXPLICIT	IMPLICIT	IMPLICIT
117		IMPLICIT	IMPLICIT	EXPLICIT	IMPLICIT	IMPLICIT
118		EXPLICIT	EXPLICIT	NA	EXPLICIT	EXPLICIT
119		EXPLICIT	IMPLICIT	IMPLICIT	IMPLICIT	IMPLICIT
120		EXPLICIT	EXPLICIT	EXPLICIT	IMPLICIT	EXPLICIT
121		NA	NA	NA	NA	NA
122		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
123		NA	NA	NA	NA	NA
124		EXPLICIT	EXPLICIT	EXPLICIT	IMPLICIT	EXPLICIT
125		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
126		EXPLICIT	IMPLICIT	EXPLICIT	EXPLICIT	IMPLICIT
127		EXPLICIT	IMPLICIT	EXPLICIT	EXPLICIT	IMPLICIT
128		EXPLICIT	IMPLICIT	EXPLICIT	IMPLICIT	IMPLICIT
129		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
130		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
131		IMPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
132		EXPLICIT	IMPLICIT	EXPLICIT	EXPLICIT	IMPLICIT
133		IMPLICIT	IMPLICIT	EXPLICIT	IMPLICIT	IMPLICIT
134		EXPLICIT	IMPLICIT	EXPLICIT	IMPLICIT	IMPLICIT
135		EXPLICIT	IMPLICIT	IMPLICIT	IMPLICIT	IMPLICIT
136		EXPLICIT	NA	EXPLICIT	EXPLICIT	NA
137		IMPLICIT	IMPLICIT	IMPLICIT	IMPLICIT	IMPLICIT
138		EXPLICIT	NA	NA	NA	NA
139		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
140		IMPLICIT	IMPLICIT	EXPLICIT	EXPLICIT	IMPLICIT
141		EXPLICIT	IMPLICIT	EXPLICIT	EXPLICIT	IMPLICIT
142		EXPLICIT	IMPLICIT	EXPLICIT	IMPLICIT	IMPLICIT
143		EXPLICIT	IMPLICIT	EXPLICIT	EXPLICIT	IMPLICIT
144		NA	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
145		EXPLICIT	NA	NA	NA	NA
146		NA	IMPLICIT	EXPLICIT	NA	IMPLICIT
147		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
148		IMPLICIT	NA	EXPLICIT	IMPLICIT	NA
149		EXPLICIT	IMPLICIT	EXPLICIT	IMPLICIT	IMPLICIT
150		EXPLICIT	NA	EXPLICIT	EXPLICIT	NA
151		EXPLICIT	EXPLICIT	EXPLICIT	IMPLICIT	EXPLICIT
152		EXPLICIT	EXPLICIT	IMPLICIT	IMPLICIT	IMPLICIT
153		NA	NA	NA	NA	NA
154		IMPLICIT	IMPLICIT	IMPLICIT	EXPLICIT	IMPLICIT
155		IMPLICIT	IMPLICIT	EXPLICIT	IMPLICIT	IMPLICIT
156		EXPLICIT	IMPLICIT	EXPLICIT	EXPLICIT	IMPLICIT
157		EXPLICIT	IMPLICIT	EXPLICIT	EXPLICIT	IMPLICIT
158		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
159		IMPLICIT	EXPLICIT	EXPLICIT	IMPLICIT	EXPLICIT
160		NA	NA	EXPLICIT	EXPLICIT	NA
161		IMPLICIT	IMPLICIT	EXPLICIT	IMPLICIT	IMPLICIT
162		IMPLICIT	IMPLICIT	NA	IMPLICIT	IMPLICIT
163		EXPLICIT	IMPLICIT	EXPLICIT	IMPLICIT	IMPLICIT
164		IMPLICIT	NA	EXPLICIT	EXPLICIT	NA
165		NA	NA	NA	NA	NA
166		EXPLICIT	IMPLICIT	NA	NA	NA
167		EXPLICIT	NA	EXPLICIT	EXPLICIT	NA
168		EXPLICIT	NA	EXPLICIT	IMPLICIT	NA
169		EXPLICIT	EXPLICIT	EXPLICIT	IMPLICIT	EXPLICIT
170		EXPLICIT	NA	EXPLICIT	EXPLICIT	NA
171		EXPLICIT	IMPLICIT	EXPLICIT	EXPLICIT	IMPLICIT
172		EXPLICIT	IMPLICIT	EXPLICIT	EXPLICIT	IMPLICIT
173		IMPLICIT	IMPLICIT	IMPLICIT	IMPLICIT	IMPLICIT
174		EXPLICIT	IMPLICIT	EXPLICIT	IMPLICIT	IMPLICIT
175		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
176		EXPLICIT	EXPLICIT	EXPLICIT	IMPLICIT	EXPLICIT
177		IMPLICIT	NA	NA	NA	NA
178		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
179		EXPLICIT	IMPLICIT	EXPLICIT	EXPLICIT	IMPLICIT
180		IMPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
181		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
182		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
183		NA	NA	NA	NA	NA
184		EXPLICIT	IMPLICIT	NA	IMPLICIT	IMPLICIT
185		NA	NA	EXPLICIT	NA	NA
186		IMPLICIT	IMPLICIT	EXPLICIT	IMPLICIT	IMPLICIT
187		EXPLICIT	IMPLICIT	NA	IMPLICIT	IMPLICIT
188		EXPLICIT	IMPLICIT	EXPLICIT	IMPLICIT	IMPLICIT
189		IMPLICIT	IMPLICIT	EXPLICIT	EXPLICIT	IMPLICIT
190		EXPLICIT	NA	EXPLICIT	NA	NA
191		EXPLICIT	NA	EXPLICIT	EXPLICIT	NA
192		IMPLICIT	NA	NA	IMPLICIT	NA
193		IMPLICIT	IMPLICIT	EXPLICIT	EXPLICIT	IMPLICIT
194		IMPLICIT	EXPLICIT	NA	EXPLICIT	EXPLICIT
195		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
196		NA	NA	NA	NA	NA
197		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
198		EXPLICIT	EXPLICIT	EXPLICIT	IMPLICIT	EXPLICIT
199		IMPLICIT	EXPLICIT	IMPLICIT	IMPLICIT	IMPLICIT
200		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
201		IMPLICIT	IMPLICIT	EXPLICIT	IMPLICIT	IMPLICIT
202		EXPLICIT	EXPLICIT	EXPLICIT	IMPLICIT	EXPLICIT
203		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
204		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
205		NA	EXPLICIT	IMPLICIT	IMPLICIT	IMPLICIT
206		EXPLICIT	EXPLICIT	EXPLICIT	IMPLICIT	EXPLICIT
207		EXPLICIT	NA	EXPLICIT	EXPLICIT	NA
208		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
209		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
210		EXPLICIT	NA	EXPLICIT	EXPLICIT	NA
211		EXPLICIT	IMPLICIT	EXPLICIT	EXPLICIT	IMPLICIT
212		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
213		EXPLICIT	IMPLICIT	EXPLICIT	EXPLICIT	IMPLICIT
214		NA	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
215		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
216		EXPLICIT	NA	IMPLICIT	NA	NA
217		EXPLICIT	NA	EXPLICIT	EXPLICIT	NA
218		NA	NA	NA	NA	NA
219		EXPLICIT	IMPLICIT	EXPLICIT	EXPLICIT	IMPLICIT
220		EXPLICIT	EXPLICIT	NA	IMPLICIT	EXPLICIT
221		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
222		EXPLICIT	IMPLICIT	EXPLICIT	IMPLICIT	IMPLICIT
223		EXPLICIT	IMPLICIT	EXPLICIT	EXPLICIT	IMPLICIT
224		IMPLICIT	IMPLICIT	EXPLICIT	EXPLICIT	IMPLICIT
225		IMPLICIT	NA	EXPLICIT	IMPLICIT	NA
226		IMPLICIT	IMPLICIT	EXPLICIT	EXPLICIT	IMPLICIT
227		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
228		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
229		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
230		EXPLICIT	NA	EXPLICIT	EXPLICIT	NA
231		IMPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
232		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
233		NA	NA	NA	NA	NA
234		IMPLICIT	EXPLICIT	IMPLICIT	IMPLICIT	IMPLICIT
235		EXPLICIT	IMPLICIT	EXPLICIT	IMPLICIT	IMPLICIT
236		IMPLICIT	IMPLICIT	EXPLICIT	EXPLICIT	IMPLICIT
237		IMPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
238		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
239		EXPLICIT	IMPLICIT	IMPLICIT	NA	IMPLICIT
240		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
241		EXPLICIT	NA	EXPLICIT	NA	NA
242		EXPLICIT	IMPLICIT	EXPLICIT	EXPLICIT	IMPLICIT
243		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
244		IMPLICIT	EXPLICIT	IMPLICIT	EXPLICIT	EXPLICIT
245		NA	NA	EXPLICIT	NA	NA
246		NA	IMPLICIT	EXPLICIT	IMPLICIT	IMPLICIT
247		EXPLICIT	EXPLICIT	EXPLICIT	IMPLICIT	EXPLICIT
248		IMPLICIT	IMPLICIT	EXPLICIT	EXPLICIT	IMPLICIT
249		NA	NA	NA	NA	NA
250		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
251		EXPLICIT	IMPLICIT	IMPLICIT	NA	IMPLICIT
252		EXPLICIT	NA	EXPLICIT	EXPLICIT	NA
253		EXPLICIT	NA	IMPLICIT	EXPLICIT	NA
254		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
255		EXPLICIT	NA	EXPLICIT	EXPLICIT	NA
256		EXPLICIT	IMPLICIT	EXPLICIT	EXPLICIT	IMPLICIT
257		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
258		EXPLICIT	IMPLICIT	EXPLICIT	IMPLICIT	IMPLICIT
259		EXPLICIT	EXPLICIT	EXPLICIT	IMPLICIT	EXPLICIT
260		IMPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
261		EXPLICIT	NA	EXPLICIT	IMPLICIT	NA
262		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
263		IMPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
264		EXPLICIT	IMPLICIT	EXPLICIT	IMPLICIT	IMPLICIT
265		EXPLICIT	IMPLICIT	EXPLICIT	IMPLICIT	IMPLICIT
266		EXPLICIT	NA	EXPLICIT	EXPLICIT	NA
267		EXPLICIT	NA	EXPLICIT	EXPLICIT	NA
268		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
269		NA	NA	NA	NA	NA
270		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
271		EXPLICIT	NA	NA	NA	NA
272		EXPLICIT	NA	EXPLICIT	EXPLICIT	NA
273		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
274		EXPLICIT	NA	NA	EXPLICIT	NA
275		NA	NA	NA	EXPLICIT	NA
276		EXPLICIT	IMPLICIT	EXPLICIT	EXPLICIT	IMPLICIT
277		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
278		IMPLICIT	EXPLICIT	IMPLICIT	IMPLICIT	IMPLICIT
279		EXPLICIT	IMPLICIT	EXPLICIT	EXPLICIT	IMPLICIT
280		IMPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
281		EXPLICIT	NA	EXPLICIT	NA	NA
282		IMPLICIT	NA	EXPLICIT	NA	NA
283		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
284		NA	NA	NA	NA	NA
285		IMPLICIT	NA	NA	EXPLICIT	NA
286		NA	NA	NA	IMPLICIT	NA
287		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
288		IMPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
289		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
290		EXPLICIT	NA	EXPLICIT	EXPLICIT	NA
291		IMPLICIT	NA	EXPLICIT	IMPLICIT	NA
292		NA	NA	EXPLICIT	NA	NA
293		EXPLICIT	EXPLICIT	EXPLICIT	NA	EXPLICIT
294		IMPLICIT	EXPLICIT	NA	NA	NA
295		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
296		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
297		IMPLICIT	EXPLICIT	EXPLICIT	IMPLICIT	EXPLICIT
298		EXPLICIT	EXPLICIT	NA	EXPLICIT	EXPLICIT
299		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
300		EXPLICIT	IMPLICIT	EXPLICIT	EXPLICIT	IMPLICIT
301		IMPLICIT	IMPLICIT	EXPLICIT	IMPLICIT	IMPLICIT
302		NA	EXPLICIT	IMPLICIT	EXPLICIT	EXPLICIT
303		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
304		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
305		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
306		IMPLICIT	NA	IMPLICIT	NA	NA
307		EXPLICIT	NA	NA	NA	NA
308		EXPLICIT	EXPLICIT	EXPLICIT	NA	EXPLICIT
309		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
310		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
311		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
312		NA	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
313		EXPLICIT	IMPLICIT	EXPLICIT	EXPLICIT	IMPLICIT
314		EXPLICIT	NA	EXPLICIT	EXPLICIT	NA
315		NA	NA	EXPLICIT	NA	NA
316		EXPLICIT	NA	NA	EXPLICIT	NA
317		EXPLICIT	EXPLICIT	EXPLICIT	IMPLICIT	EXPLICIT
318		EXPLICIT	IMPLICIT	EXPLICIT	IMPLICIT	IMPLICIT
319		EXPLICIT	NA	NA	EXPLICIT	NA
320		NA	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
321		EXPLICIT	EXPLICIT	EXPLICIT	IMPLICIT	EXPLICIT
322		NA	NA	NA	NA	NA
323		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
324		EXPLICIT	IMPLICIT	EXPLICIT	IMPLICIT	IMPLICIT
325		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
326		NA	NA	NA	NA	NA
327		EXPLICIT	NA	EXPLICIT	EXPLICIT	NA
328		EXPLICIT	EXPLICIT	EXPLICIT	IMPLICIT	EXPLICIT
329		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
330		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
331		IMPLICIT	IMPLICIT	EXPLICIT	IMPLICIT	IMPLICIT
332		EXPLICIT	EXPLICIT	EXPLICIT	IMPLICIT	EXPLICIT
333		NA	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
334		IMPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
335		EXPLICIT	IMPLICIT	EXPLICIT	EXPLICIT	IMPLICIT
336		IMPLICIT	NA	EXPLICIT	EXPLICIT	NA
337		IMPLICIT	NA	EXPLICIT	IMPLICIT	NA
338		EXPLICIT	EXPLICIT	IMPLICIT	IMPLICIT	IMPLICIT
339		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
340		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
341		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
342		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
343		EXPLICIT	NA	EXPLICIT	EXPLICIT	NA
344		EXPLICIT	IMPLICIT	EXPLICIT	EXPLICIT	IMPLICIT
345		IMPLICIT	EXPLICIT	EXPLICIT	IMPLICIT	EXPLICIT
346		NA	NA	NA	NA	NA
347		EXPLICIT	NA	EXPLICIT	IMPLICIT	NA
348		EXPLICIT	EXPLICIT	EXPLICIT	IMPLICIT	EXPLICIT
349		EXPLICIT	NA	IMPLICIT	NA	NA
