	prompt	prediction	gold_gold_elin	gold_gold_lena	gold_gold_oscar	gold_gold_agg
112		PASSIVE	ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE
113		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
114		ACTIVE_POS_OTHER				
115		ACTIVE_POS_CARING	ACTIVE_NEG	ACTIVE_NEG		ACTIVE_NEG
116		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
117		PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
118		PASSIVE	PASSIVE		PASSIVE	PASSIVE
119		PASSIVE	PASSIVE	PASSIVE	ACTIVE_POS_OTHER	PASSIVE
120		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
121		NA				
122		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
123		NA				
124		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
125		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
126		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
127		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
128		ACTIVE_POS_CARING	PASSIVE	PASSIVE	PASSIVE	PASSIVE
129		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
130		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
131		PASSIVE	ACTIVE_NEG	PASSIVE	PASSIVE	PASSIVE
132		ACTIVE_POS_CARING	ACTIVE_NEG	ACTIVE_NEG	PASSIVE	ACTIVE_NEG
133		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
134		PASSIVE	ACTIVE_NEG	PASSIVE	PASSIVE	PASSIVE
135		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
136		ACTIVE_POS_OTHER		PASSIVE	PASSIVE	PASSIVE
137		PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
138		PASSIVE				
139		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
140		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER
141		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
142		ACTIVE_POS_CARING	ACTIVE_NEG	ACTIVE_POS_OTHER	ACTIVE_NEG	ACTIVE_NEG
143		ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE	PASSIVE
144		NA	PASSIVE	PASSIVE	PASSIVE	PASSIVE
145		ACTIVE_NEG				
146		NA	ACTIVE_POS_OTHER	PASSIVE		
147		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
148		PASSIVE		PASSIVE	PASSIVE	PASSIVE
149		PASSIVE	ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE
150		PASSIVE		PASSIVE	PASSIVE	PASSIVE
151		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
152		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
153		NA				
154		ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER
155		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
156		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
157		ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING
158		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
159		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_CARING	ACTIVE_POS_CARING
160		NA		PASSIVE	PASSIVE	PASSIVE
161		ACTIVE_POS_OTHER	ACTIVE_NEG	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_NEG
162		PASSIVE	ACTIVE_POS_OTHER		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
163		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER
164		PASSIVE		PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
165		NA				
166		PASSIVE	PASSIVE			
167		PASSIVE		PASSIVE	PASSIVE	PASSIVE
168		ACTIVE_POS_OTHER		PASSIVE	PASSIVE	PASSIVE
169		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_CHALLENGING	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
170		PASSIVE		PASSIVE	PASSIVE	PASSIVE
171		ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE	PASSIVE
172		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
173		PASSIVE	ACTIVE_NEG	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
174		PASSIVE	ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE
175		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
176		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
177		ACTIVE_POS_CARING				
178		ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
179		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
180		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
181		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
182		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
183		NA				
184		PASSIVE	ACTIVE_POS_OTHER		ACTIVE_POS_CARING	ACTIVE_POS_CARING
185		NA		ACTIVE_NEG		
186		ACTIVE_NEG	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
187		PASSIVE	ACTIVE_POS_CHALLENGING		ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING
188		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
189		PASSIVE	ACTIVE_NEG	ACTIVE_NEG	PASSIVE	ACTIVE_NEG
190		PASSIVE		PASSIVE		
191		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
192		NA			ACTIVE_POS_OTHER	
193		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER
194		ACTIVE_POS_OTHER	PASSIVE		PASSIVE	PASSIVE
195		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
196		NA				
197		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER
198		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
199		ACTIVE_POS_CARING	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_CARING	ACTIVE_POS_CARING
200		ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING
201		ACTIVE_POS_OTHER	ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_CARING	ACTIVE_POS_CARING
202		ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_CHALLENGING	ACTIVE_POS_CARING	ACTIVE_POS_CHALLENGING
203		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
204		PASSIVE	ACTIVE_NEG	PASSIVE	PASSIVE	PASSIVE
205		NA	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
206		ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_CHALLENGING	ACTIVE_POS_CARING	ACTIVE_POS_CHALLENGING
207		PASSIVE		PASSIVE	PASSIVE	PASSIVE
208		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
209		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
210		ACTIVE_POS_OTHER		PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
211		ACTIVE_NEG	PASSIVE	PASSIVE	ACTIVE_POS_OTHER	PASSIVE
212		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
213		ACTIVE_POS_OTHER	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING
214		NA	PASSIVE	PASSIVE	PASSIVE	PASSIVE
215		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
216		ACTIVE_POS_CARING		ACTIVE_POS_OTHER		
217		PASSIVE		PASSIVE	PASSIVE	PASSIVE
218		NA				
219		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
220		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
221		ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_CARING	ACTIVE_POS_CARING
222		PASSIVE	ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE
223		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_CARING	ACTIVE_POS_CARING
224		PASSIVE	ACTIVE_NEG	PASSIVE	PASSIVE	PASSIVE
225		NA		PASSIVE	PASSIVE	PASSIVE
226		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
227		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
228		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
229		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
230		PASSIVE		PASSIVE	PASSIVE	PASSIVE
231		PASSIVE	ACTIVE_NEG	ACTIVE_NEG	PASSIVE	ACTIVE_NEG
232		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
233		NA				
234		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_CARING	ACTIVE_POS_OTHER
235		PASSIVE	ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE
236		PASSIVE	ACTIVE_NEG	PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
237		NA	PASSIVE	PASSIVE	PASSIVE	PASSIVE
238		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
239		NA	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER		ACTIVE_POS_OTHER
240		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
241		PASSIVE		PASSIVE		
242		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_CARING	ACTIVE_POS_OTHER
243		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
244		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_NEG
245		NA		PASSIVE		
246		NA	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_CARING	ACTIVE_POS_CARING
247		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
248		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
249		NA				
250		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
251		NA	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER		ACTIVE_POS_OTHER
252		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
253		ACTIVE_POS_OTHER		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
254		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
255		PASSIVE		PASSIVE	PASSIVE	PASSIVE
256		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
257		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
258		NA	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
259		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
260		ACTIVE_POS_CHALLENGING	ACTIVE_POS_OTHER	ACTIVE_POS_CHALLENGING	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
261		PASSIVE		PASSIVE	PASSIVE	PASSIVE
262		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
263		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
264		PASSIVE	ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE
265		PASSIVE	ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE
266		PASSIVE		PASSIVE	PASSIVE	PASSIVE
267		PASSIVE		PASSIVE	PASSIVE	PASSIVE
268		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	PASSIVE	ACTIVE_NEG
269		NA				
270		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
271		NA				
272		PASSIVE		PASSIVE	PASSIVE	PASSIVE
273		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
274		PASSIVE			PASSIVE	
275		NA			PASSIVE	
276		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
277		PASSIVE	ACTIVE_NEG	PASSIVE	PASSIVE	PASSIVE
278		ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING
279		ACTIVE_POS_OTHER	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
280		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
281		PASSIVE		PASSIVE		
282		ACTIVE_POS_OTHER		PASSIVE		
283		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
284		NA				
285		PASSIVE			PASSIVE	
286		NA			ACTIVE_NEG	
287		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
288		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_NEG
289		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
290		PASSIVE		PASSIVE	PASSIVE	PASSIVE
291		PASSIVE		PASSIVE	PASSIVE	PASSIVE
292		NA		PASSIVE		
293		PASSIVE	PASSIVE	PASSIVE		PASSIVE
294		ACTIVE_POS_CARING	ACTIVE_POS_OTHER			
295		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
296		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
297		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
298		ACTIVE_POS_CHALLENGING	ACTIVE_POS_OTHER		ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING
299		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
300		PASSIVE	ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE
301		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
