	prompt	prediction	gold_elin	gold_lena	gold_oscar	gold_agg
35		NA	ACTIVE_POS_OTHER	NA	NA	NA
36		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
37		PASSIVE	NA	NA	NA	NA
38		PASSIVE	NA	NA	NA	NA
39		NA	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_CARING	ACTIVE_POS_OTHER
40		PASSIVE	ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE
41		PASSIVE	NA	PASSIVE	NA	NA
42		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
43		ACTIVE_NEG	PASSIVE	PASSIVE	PASSIVE	PASSIVE
44		NA	NA	NA	PASSIVE	NA
45		PASSIVE	PASSIVE	NA	PASSIVE	PASSIVE
46		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	NA	NA
47		NA	NA	PASSIVE	PASSIVE	PASSIVE
48		NA	NA	PASSIVE	NA	NA
49		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_CARING	ACTIVE_POS_OTHER
50		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
51		NA	ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE
52		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
53		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
54		ACTIVE_NEG	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
55		ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING
56		PASSIVE	NA	NA	PASSIVE	NA
57		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
58		NA	NA	NA	NA	NA
59		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
60		PASSIVE	NA	ACTIVE_NEG	PASSIVE	ACTIVE_NEG
61		ACTIVE_POS_OTHER	ACTIVE_NEG	ACTIVE_POS_CARING	ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING
62		PASSIVE	PASSIVE	ACTIVE_POS_CHALLENGING	ACTIVE_POS_OTHER	ACTIVE_POS_CHALLENGING
63		ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING
64		PASSIVE	NA	NA	PASSIVE	NA
65		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
66		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
67		ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	NA	ACTIVE_POS_OTHER
68		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
69		ACTIVE_NEG	PASSIVE	ACTIVE_POS_CHALLENGING	PASSIVE	PASSIVE
70		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
71		ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE	PASSIVE
72		ACTIVE_NEG	NA	ACTIVE_NEG	NA	NA
73		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
74		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER
75		ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
76		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
77		ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING
78		NA	NA	NA	NA	NA
79		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
80		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE
81		NA	PASSIVE	NA	PASSIVE	PASSIVE
82		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
83		NA	NA	NA	NA	NA
84		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
85		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	NA	ACTIVE_POS_OTHER
86		ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_CARING
87		ACTIVE_POS_OTHER	ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
88		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
89		PASSIVE	NA	PASSIVE	PASSIVE	PASSIVE
90		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
91		ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER
92		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
93		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
94		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
95		ACTIVE_POS_OTHER	ACTIVE_POS_CHALLENGING	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
96		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
97		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
98		ACTIVE_NEG	ACTIVE_POS_OTHER	ACTIVE_NEG	NA	ACTIVE_NEG
99		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
100		PASSIVE	PASSIVE	ACTIVE_POS_OTHER	PASSIVE	PASSIVE
101		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
102		PASSIVE	ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE
103		ACTIVE_NEG	NA	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
104		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
105		ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	NA	ACTIVE_POS_OTHER
106		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
107		PASSIVE	ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE
108		ACTIVE_POS_OTHER	ACTIVE_POS_CHALLENGING	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
109		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
110		ACTIVE_POS_OTHER	ACTIVE_POS_CHALLENGING	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
111		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
112		PASSIVE	ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE
113		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
114		PASSIVE	NA	NA	NA	NA
115		ACTIVE_POS_CARING	ACTIVE_NEG	ACTIVE_NEG	NA	ACTIVE_NEG
116		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
117		PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
118		PASSIVE	PASSIVE	NA	PASSIVE	PASSIVE
119		PASSIVE	PASSIVE	PASSIVE	ACTIVE_POS_OTHER	PASSIVE
120		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
121		NA	NA	NA	NA	NA
122		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
123		NA	NA	NA	NA	NA
124		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
125		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
126		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
127		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
128		ACTIVE_POS_CARING	PASSIVE	PASSIVE	PASSIVE	PASSIVE
129		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
130		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
131		PASSIVE	ACTIVE_NEG	PASSIVE	PASSIVE	PASSIVE
132		ACTIVE_POS_CARING	ACTIVE_NEG	ACTIVE_NEG	PASSIVE	ACTIVE_NEG
133		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
134		PASSIVE	ACTIVE_NEG	PASSIVE	PASSIVE	PASSIVE
135		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
136		ACTIVE_POS_OTHER	NA	PASSIVE	PASSIVE	PASSIVE
137		PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
138		PASSIVE	NA	NA	NA	NA
139		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
140		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER
141		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
142		ACTIVE_POS_OTHER	ACTIVE_NEG	ACTIVE_POS_OTHER	ACTIVE_NEG	ACTIVE_NEG
143		ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE	PASSIVE
144		NA	PASSIVE	PASSIVE	PASSIVE	PASSIVE
145		ACTIVE_NEG	NA	NA	NA	NA
146		NA	ACTIVE_POS_OTHER	PASSIVE	NA	NA
147		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
148		PASSIVE	NA	PASSIVE	PASSIVE	PASSIVE
149		PASSIVE	ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE
150		PASSIVE	NA	PASSIVE	PASSIVE	PASSIVE
151		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
152		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
153		NA	NA	NA	NA	NA
154		ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER
155		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
156		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
157		ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING
158		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
159		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_CARING	ACTIVE_POS_CARING
160		NA	NA	PASSIVE	PASSIVE	PASSIVE
161		ACTIVE_POS_CARING	ACTIVE_NEG	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_NEG
162		PASSIVE	ACTIVE_POS_OTHER	NA	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
163		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER
164		PASSIVE	NA	PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
165		NA	NA	NA	NA	NA
166		PASSIVE	PASSIVE	NA	NA	NA
167		PASSIVE	NA	PASSIVE	PASSIVE	PASSIVE
168		ACTIVE_POS_OTHER	NA	PASSIVE	PASSIVE	PASSIVE
169		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_CHALLENGING	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
170		PASSIVE	NA	PASSIVE	PASSIVE	PASSIVE
171		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
172		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
173		PASSIVE	ACTIVE_NEG	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
174		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE
175		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
176		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
177		ACTIVE_POS_OTHER	NA	NA	NA	NA
178		ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
179		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
180		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
181		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
182		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
183		NA	NA	NA	NA	NA
184		PASSIVE	ACTIVE_POS_OTHER	NA	ACTIVE_POS_CARING	ACTIVE_POS_CARING
185		NA	NA	ACTIVE_NEG	NA	NA
186		ACTIVE_NEG	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
187		PASSIVE	ACTIVE_POS_CHALLENGING	NA	ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING
188		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
189		PASSIVE	ACTIVE_NEG	ACTIVE_NEG	PASSIVE	ACTIVE_NEG
190		PASSIVE	NA	PASSIVE	NA	NA
191		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
192		ACTIVE_POS_OTHER	NA	NA	ACTIVE_POS_OTHER	NA
193		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER
194		ACTIVE_POS_OTHER	PASSIVE	NA	PASSIVE	PASSIVE
195		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
196		NA	NA	NA	NA	NA
197		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER
198		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
199		ACTIVE_POS_CARING	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_CARING	ACTIVE_POS_CARING
200		ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING
201		ACTIVE_POS_OTHER	ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_CARING	ACTIVE_POS_CARING
202		ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_CHALLENGING	ACTIVE_POS_CARING	ACTIVE_POS_CHALLENGING
203		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
204		PASSIVE	ACTIVE_NEG	PASSIVE	PASSIVE	PASSIVE
205		NA	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
206		ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_CHALLENGING	ACTIVE_POS_CARING	ACTIVE_POS_CHALLENGING
207		PASSIVE	NA	PASSIVE	PASSIVE	PASSIVE
208		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
209		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
210		NA	NA	PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
211		PASSIVE	PASSIVE	PASSIVE	ACTIVE_POS_OTHER	PASSIVE
212		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
213		ACTIVE_POS_OTHER	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING
214		NA	PASSIVE	PASSIVE	PASSIVE	PASSIVE
215		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
216		ACTIVE_POS_CARING	NA	ACTIVE_POS_OTHER	NA	NA
217		PASSIVE	NA	PASSIVE	PASSIVE	PASSIVE
218		NA	NA	NA	NA	NA
219		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
220		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	NA	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
221		ACTIVE_POS_OTHER	ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_CARING	ACTIVE_POS_CARING
222		PASSIVE	ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE
223		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_CARING	ACTIVE_POS_CARING
224		PASSIVE	ACTIVE_NEG	PASSIVE	PASSIVE	PASSIVE
225		NA	NA	PASSIVE	PASSIVE	PASSIVE
226		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
227		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
228		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
229		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
230		PASSIVE	NA	PASSIVE	PASSIVE	PASSIVE
231		PASSIVE	ACTIVE_NEG	ACTIVE_NEG	PASSIVE	ACTIVE_NEG
232		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
233		NA	NA	NA	NA	NA
234		ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_CARING	ACTIVE_POS_OTHER
235		PASSIVE	ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE
236		PASSIVE	ACTIVE_NEG	PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
237		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
238		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
239		NA	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	NA	ACTIVE_POS_OTHER
240		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
241		PASSIVE	NA	PASSIVE	NA	NA
242		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_CARING	ACTIVE_POS_OTHER
243		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
244		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_NEG
245		NA	NA	PASSIVE	NA	NA
246		NA	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_CARING	ACTIVE_POS_CARING
247		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
248		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
249		NA	NA	NA	NA	NA
250		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
251		PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	NA	ACTIVE_POS_OTHER
252		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
253		ACTIVE_POS_OTHER	NA	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
254		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
255		PASSIVE	NA	PASSIVE	PASSIVE	PASSIVE
256		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
257		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
258		PASSIVE	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
259		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
260		ACTIVE_POS_CHALLENGING	ACTIVE_POS_OTHER	ACTIVE_POS_CHALLENGING	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
261		PASSIVE	NA	PASSIVE	PASSIVE	PASSIVE
262		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
263		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
264		PASSIVE	ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE
265		PASSIVE	ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE
266		PASSIVE	NA	PASSIVE	PASSIVE	PASSIVE
267		PASSIVE	NA	PASSIVE	PASSIVE	PASSIVE
268		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	PASSIVE	ACTIVE_NEG
269		NA	NA	NA	NA	NA
270		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
271		NA	NA	NA	NA	NA
272		PASSIVE	NA	PASSIVE	PASSIVE	PASSIVE
273		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
274		PASSIVE	NA	NA	PASSIVE	NA
275		NA	NA	NA	PASSIVE	NA
276		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
277		PASSIVE	ACTIVE_NEG	PASSIVE	PASSIVE	PASSIVE
278		ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING
279		ACTIVE_POS_OTHER	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
280		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
281		PASSIVE	NA	PASSIVE	NA	NA
282		ACTIVE_POS_OTHER	NA	PASSIVE	NA	NA
283		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
284		NA	NA	NA	NA	NA
285		ACTIVE_NEG	NA	NA	PASSIVE	NA
286		NA	NA	NA	ACTIVE_NEG	NA
287		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE
288		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_NEG
